v2	V(va)	V(vb)
Step Information: V1=-5  (Run: 1/10)
5.000000000000000e-001	-4.306312e+000	-5.804910e-002
1.000000000000000e+000	-4.306312e+000	4.416512e-001
1.500000000000000e+000	-4.306312e+000	9.413515e-001
2.000000000000000e+000	-4.306312e+000	1.441052e+000
2.500000000000000e+000	-4.306312e+000	1.940752e+000
3.000000000000000e+000	-4.306312e+000	2.440452e+000
3.500000000000000e+000	-4.306312e+000	2.940153e+000
4.000000000000000e+000	-4.306312e+000	3.439853e+000
4.500000000000000e+000	-4.306312e+000	3.939553e+000
5.000000000000000e+000	-4.306312e+000	4.439254e+000
Step Information: V1=-4.5  (Run: 2/10)
5.000000000000000e-001	-3.811597e+000	2.794526e-003
1.000000000000000e+000	-3.811597e+000	5.025275e-001
1.500000000000000e+000	-3.811597e+000	1.002261e+000
2.000000000000000e+000	-3.811597e+000	1.501994e+000
2.500000000000000e+000	-3.811597e+000	2.001726e+000
3.000000000000000e+000	-3.811597e+000	2.501460e+000
3.500000000000000e+000	-3.811597e+000	3.001193e+000
4.000000000000000e+000	-3.811597e+000	3.500926e+000
4.500000000000000e+000	-3.811597e+000	4.000659e+000
5.000000000000000e+000	-3.811597e+000	4.500391e+000
Step Information: V1=-4  (Run: 3/10)
5.000000000000000e-001	-3.317649e+000	6.521690e-002
1.000000000000000e+000	-3.317649e+000	5.649834e-001
1.500000000000000e+000	-3.317649e+000	1.064750e+000
2.000000000000000e+000	-3.317649e+000	1.564517e+000
2.500000000000000e+000	-3.317649e+000	2.064283e+000
3.000000000000000e+000	-3.317649e+000	2.564050e+000
3.500000000000000e+000	-3.317649e+000	3.063816e+000
4.000000000000000e+000	-3.317649e+000	3.563583e+000
4.500000000000000e+000	-3.317649e+000	4.063349e+000
5.000000000000000e+000	-3.317649e+000	4.563116e+000
Step Information: V1=-3.5  (Run: 4/10)
5.000000000000000e-001	-2.824721e+000	1.292568e-001
1.000000000000000e+000	-2.824721e+000	6.290579e-001
1.500000000000000e+000	-2.824721e+000	1.128859e+000
2.000000000000000e+000	-2.824721e+000	1.628660e+000
2.500000000000000e+000	-2.824721e+000	2.128461e+000
3.000000000000000e+000	-2.824721e+000	2.628262e+000
3.500000000000000e+000	-2.824721e+000	3.128063e+000
4.000000000000000e+000	-2.824721e+000	3.627864e+000
4.500000000000000e+000	-2.824721e+000	4.127665e+000
5.000000000000000e+000	-2.824721e+000	4.627466e+000
Step Information: V1=-3  (Run: 5/10)
5.000000000000000e-001	-2.333217e+000	1.948908e-001
1.000000000000000e+000	-2.333217e+000	6.947271e-001
1.500000000000000e+000	-2.333217e+000	1.194563e+000
2.000000000000000e+000	-2.333217e+000	1.694400e+000
2.500000000000000e+000	-2.333217e+000	2.194236e+000
3.000000000000000e+000	-2.333217e+000	2.694072e+000
3.500000000000000e+000	-2.333217e+000	3.193908e+000
4.000000000000000e+000	-2.333217e+000	3.693745e+000
4.500000000000000e+000	-2.333217e+000	4.193581e+000
5.000000000000000e+000	-2.333217e+000	4.693418e+000
Step Information: V1=-2.5  (Run: 6/10)
5.000000000000000e-001	-1.843834e+000	2.619559e-001
1.000000000000000e+000	-1.843835e+000	7.618284e-001
1.500000000000000e+000	-1.843835e+000	1.261701e+000
2.000000000000000e+000	-1.843835e+000	1.761573e+000
2.500000000000000e+000	-1.843835e+000	2.261446e+000
3.000000000000000e+000	-1.843835e+000	2.761318e+000
3.500000000000000e+000	-1.843835e+000	3.261190e+000
4.000000000000000e+000	-1.843835e+000	3.761063e+000
4.500000000000000e+000	-1.843835e+000	4.260935e+000
5.000000000000000e+000	-1.843835e+000	4.760807e+000
Step Information: V1=-2  (Run: 7/10)
5.000000000000000e-001	-1.357926e+000	3.299639e-001
1.000000000000000e+000	-1.357926e+000	8.298727e-001
1.500000000000000e+000	-1.357926e+000	1.329782e+000
2.000000000000000e+000	-1.357926e+000	1.829691e+000
2.500000000000000e+000	-1.357926e+000	2.329600e+000
3.000000000000000e+000	-1.357926e+000	2.829509e+000
3.500000000000000e+000	-1.357926e+000	3.329417e+000
4.000000000000000e+000	-1.357926e+000	3.829326e+000
4.500000000000000e+000	-1.357926e+000	4.329235e+000
5.000000000000000e+000	-1.357926e+000	4.829144e+000
Step Information: V1=-1.5  (Run: 8/10)
5.000000000000000e-001	-8.786719e-001	3.975610e-001
1.000000000000000e+000	-8.786719e-001	8.975062e-001
1.500000000000000e+000	-8.786719e-001	1.397451e+000
2.000000000000000e+000	-8.786719e-001	1.897397e+000
2.500000000000000e+000	-8.786719e-001	2.397342e+000
3.000000000000000e+000	-8.786719e-001	2.897287e+000
3.500000000000000e+000	-8.786719e-001	3.397232e+000
4.000000000000000e+000	-8.786719e-001	3.897177e+000
4.500000000000000e+000	-8.786719e-001	4.397123e+000
5.000000000000000e+000	-8.786719e-001	4.897068e+000
Step Information: V1=-1  (Run: 9/10)
5.000000000000000e-001	-4.166904e-001	4.604319e-001
1.000000000000000e+000	-4.166904e-001	9.604108e-001
1.500000000000000e+000	-4.166904e-001	1.460390e+000
2.000000000000000e+000	-4.166903e-001	1.960369e+000
2.500000000000000e+000	-4.166903e-001	2.460348e+000
3.000000000000000e+000	-4.166903e-001	2.960326e+000
3.500000000000000e+000	-4.166903e-001	3.460305e+000
4.000000000000000e+000	-4.166903e-001	3.960284e+000
4.500000000000000e+000	-4.166903e-001	4.460263e+000
5.000000000000000e+000	-4.166903e-001	4.960242e+000
Step Information: V1=-500m  (Run: 10/10)
5.000000000000000e-001	-5.025670e-002	4.986958e-001
1.000000000000000e+000	-5.025663e-002	9.986951e-001
1.500000000000000e+000	-5.025663e-002	1.498694e+000
2.000000000000000e+000	-5.025660e-002	1.998694e+000
2.500000000000000e+000	-5.025657e-002	2.498693e+000
3.000000000000000e+000	-5.025654e-002	2.998692e+000
3.500000000000000e+000	-5.025651e-002	3.498692e+000
4.000000000000000e+000	-5.025648e-002	3.998691e+000
4.500000000000000e+000	-5.025645e-002	4.498690e+000
5.000000000000000e+000	-5.025642e-002	4.998690e+000
