vcc	V(vb)	V(vc)
Step Information: Ve=5  (Run: 1/10)
-5.000000000000000e+000	4.278907e+000	-4.434177e+000
-4.500000000000000e+000	4.278908e+000	-3.936110e+000
-4.000000000000000e+000	4.278908e+000	-3.438041e+000
-3.500000000000000e+000	4.278908e+000	-2.939972e+000
-3.000000000000000e+000	4.278908e+000	-2.441904e+000
-2.500000000000000e+000	4.278908e+000	-1.943835e+000
-2.000000000000000e+000	4.278908e+000	-1.445767e+000
-1.500000000000000e+000	4.278908e+000	-9.476983e-001
-1.000000000000000e+000	4.278908e+000	-4.496298e-001
-5.000000000000000e-001	4.278908e+000	4.843878e-002
Step Information: Ve=4.5  (Run: 2/10)
-5.000000000000000e+000	3.783489e+000	-4.499332e+000
-4.500000000000000e+000	3.783490e+000	-4.001046e+000
-4.000000000000000e+000	3.783490e+000	-3.502760e+000
-3.500000000000000e+000	3.783490e+000	-3.004473e+000
-3.000000000000000e+000	3.783490e+000	-2.506186e+000
-2.500000000000000e+000	3.783490e+000	-2.007900e+000
-2.000000000000000e+000	3.783490e+000	-1.509613e+000
-1.500000000000000e+000	3.783490e+000	-1.011327e+000
-1.000000000000000e+000	3.783490e+000	-5.130402e-001
-5.000000000000000e-001	3.783490e+000	-1.475366e-002
Step Information: Ve=4  (Run: 3/10)
-5.000000000000000e+000	3.288711e+000	-4.564865e+000
-4.500000000000000e+000	3.288712e+000	-4.066359e+000
-4.000000000000000e+000	3.288712e+000	-3.567852e+000
-3.500000000000000e+000	3.288712e+000	-3.069344e+000
-3.000000000000000e+000	3.288712e+000	-2.570837e+000
-2.500000000000000e+000	3.288712e+000	-2.072330e+000
-2.000000000000000e+000	3.288712e+000	-1.573823e+000
-1.500000000000000e+000	3.288712e+000	-1.075316e+000
-1.000000000000000e+000	3.288712e+000	-5.768083e-001
-5.000000000000000e-001	3.288712e+000	-7.830116e-002
Step Information: Ve=3.5  (Run: 4/10)
-5.000000000000000e+000	2.794781e+000	-4.630726e+000
-4.500000000000000e+000	2.794782e+000	-4.131997e+000
-4.000000000000000e+000	2.794782e+000	-3.633266e+000
-3.500000000000000e+000	2.794782e+000	-3.134536e+000
-3.000000000000000e+000	2.794782e+000	-2.635806e+000
-2.500000000000000e+000	2.794782e+000	-2.137075e+000
-2.000000000000000e+000	2.794782e+000	-1.638345e+000
-1.500000000000000e+000	2.794782e+000	-1.139615e+000
-1.000000000000000e+000	2.794782e+000	-6.408848e-001
-5.000000000000000e-001	2.794782e+000	-1.421545e-001
Step Information: Ve=3  (Run: 5/10)
-5.000000000000000e+000	2.302025e+000	-4.696822e+000
-4.500000000000000e+000	2.302026e+000	-4.197867e+000
-4.000000000000000e+000	2.302026e+000	-3.698911e+000
-3.500000000000000e+000	2.302026e+000	-3.199956e+000
-3.000000000000000e+000	2.302026e+000	-2.701001e+000
-2.500000000000000e+000	2.302026e+000	-2.202045e+000
-2.000000000000000e+000	2.302026e+000	-1.703090e+000
-1.500000000000000e+000	2.302026e+000	-1.204135e+000
-1.000000000000000e+000	2.302026e+000	-7.051792e-001
-5.000000000000000e-001	2.302026e+000	-2.062238e-001
Step Information: Ve=2.5  (Run: 6/10)
-5.000000000000000e+000	1.811002e+000	-4.762982e+000
-4.500000000000000e+000	1.811004e+000	-4.263800e+000
-4.000000000000000e+000	1.811004e+000	-3.764618e+000
-3.500000000000000e+000	1.811004e+000	-3.265436e+000
-3.000000000000000e+000	1.811004e+000	-2.766254e+000
-2.500000000000000e+000	1.811004e+000	-2.267072e+000
-2.000000000000000e+000	1.811004e+000	-1.767891e+000
-1.500000000000000e+000	1.811004e+000	-1.268709e+000
-1.000000000000000e+000	1.811004e+000	-7.695267e-001
-5.000000000000000e-001	1.811004e+000	-2.703448e-001
Step Information: Ve=2  (Run: 7/10)
-5.000000000000000e+000	1.322790e+000	-4.828878e+000
-4.500000000000000e+000	1.322793e+000	-4.329469e+000
-4.000000000000000e+000	1.322793e+000	-3.830061e+000
-3.500000000000000e+000	1.322793e+000	-3.330652e+000
-3.000000000000000e+000	1.322793e+000	-2.831243e+000
-2.500000000000000e+000	1.322793e+000	-2.331835e+000
-2.000000000000000e+000	1.322793e+000	-1.832426e+000
-1.500000000000000e+000	1.322793e+000	-1.333017e+000
-1.000000000000000e+000	1.322793e+000	-8.336088e-001
-5.000000000000000e-001	1.322793e+000	-3.342002e-001
Step Information: Ve=1.5  (Run: 8/10)
-5.000000000000000e+000	8.399132e-001	-4.893793e+000
-4.500000000000000e+000	8.399166e-001	-4.394159e+000
-4.000000000000000e+000	8.399166e-001	-3.894526e+000
-3.500000000000000e+000	8.399166e-001	-3.394893e+000
-3.000000000000000e+000	8.399166e-001	-2.895261e+000
-2.500000000000000e+000	8.399166e-001	-2.395628e+000
-2.000000000000000e+000	8.399166e-001	-1.895995e+000
-1.500000000000000e+000	8.399166e-001	-1.396362e+000
-1.000000000000000e+000	8.399166e-001	-8.967290e-001
-5.000000000000000e-001	8.399166e-001	-3.970961e-001
Step Information: Ve=1  (Run: 9/10)
-5.000000000000000e+000	3.709984e-001	-4.955636e+000
-4.500000000000000e+000	3.709985e-001	-4.455789e+000
