vcc	V(n003)	Ic(Q1)
-5.000000000000000e+000	-4.949343e+000	-2.628143e-005
-4.950000000000000e+000	-4.919218e+000	-1.716955e-005
-4.900000000000000e+000	-4.884743e+000	-6.883046e-006
-4.850000000000001e+000	-4.847371e+000	4.185919e-006
-4.800000000000001e+000	-4.808057e+000	1.579013e-005
-4.750000000000001e+000	-4.767277e+000	2.777349e-005
-4.700000000000001e+000	-4.725472e+000	4.003415e-005
-4.650000000000001e+000	-4.682901e+000	5.250307e-005
-4.600000000000001e+000	-4.639737e+000	6.513162e-005
-4.550000000000002e+000	-4.596111e+000	7.788439e-005
-4.500000000000002e+000	-4.552119e+000	9.073474e-005
-4.450000000000002e+000	-4.507838e+000	1.036620e-004
-4.400000000000002e+000	-4.463328e+000	1.166497e-004
-4.350000000000002e+000	-4.418639e+000	1.296845e-004
-4.300000000000003e+000	-4.373811e+000	1.427550e-004
-4.250000000000003e+000	-4.328880e+000	1.558516e-004
-4.200000000000003e+000	-4.283878e+000	1.689654e-004
-4.150000000000003e+000	-4.238832e+000	1.820887e-004
-4.100000000000003e+000	-4.193770e+000	1.952141e-004
-4.050000000000003e+000	-4.148718e+000	2.083343e-004
-4.000000000000004e+000	-4.103700e+000	2.214423e-004
-3.950000000000004e+000	-4.058742e+000	2.345307e-004
-3.900000000000004e+000	-4.013872e+000	2.475918e-004
-3.850000000000004e+000	-3.969118e+000	2.606173e-004
-3.800000000000004e+000	-3.924514e+000	2.735979e-004
-3.750000000000004e+000	-3.880095e+000	2.865231e-004
-3.700000000000005e+000	-3.835905e+000	2.993808e-004
-3.650000000000005e+000	-3.791992e+000	3.121565e-004
-3.600000000000005e+000	-3.748417e+000	3.248327e-004
-3.550000000000005e+000	-3.705256e+000	3.373879e-004
-3.500000000000005e+000	-3.662600e+000	3.497949e-004
-3.450000000000006e+000	-3.620571e+000	3.620186e-004
-3.400000000000006e+000	-3.579328e+000	3.740129e-004
-3.350000000000006e+000	-3.539085e+000	3.857155e-004
-3.300000000000006e+000	-3.500138e+000	3.970401e-004
-3.250000000000006e+000	-3.462905e+000	4.078645e-004
-3.200000000000006e+000	-3.427990e+000	4.180122e-004
-3.150000000000007e+000	-3.396267e+000	4.272285e-004
-3.100000000000007e+000	-3.368947e+000	4.351610e-004
-3.050000000000007e+000	-3.347469e+000	4.413960e-004
-3.000000000000007e+000	-3.332862e+000	4.456483e-004
-2.950000000000007e+000	-3.324623e+000	4.480631e-004
-2.900000000000008e+000	-3.320705e+000	4.492144e-004
-2.850000000000008e+000	-3.319037e+000	4.497017e-004
-2.800000000000008e+000	-3.318368e+000	4.498964e-004
-2.750000000000008e+000	-3.318104e+000	4.499732e-004
-2.700000000000008e+000	-3.317997e+000	4.500042e-004
-2.650000000000008e+000	-3.317951e+000	4.500177e-004
-2.600000000000009e+000	-3.317927e+000	4.500246e-004
-2.550000000000009e+000	-3.317912e+000	4.500290e-004
-2.500000000000009e+000	-3.317900e+000	4.500325e-004
-2.450000000000009e+000	-3.317889e+000	4.500355e-004
-2.400000000000009e+000	-3.317879e+000	4.500385e-004
-2.350000000000009e+000	-3.317869e+000	4.500414e-004
-2.300000000000010e+000	-3.317859e+000	4.500442e-004
-2.250000000000010e+000	-3.317849e+000	4.500471e-004
-2.200000000000010e+000	-3.317839e+000	4.500499e-004
-2.150000000000010e+000	-3.317829e+000	4.500528e-004
-2.100000000000010e+000	-3.317819e+000	4.500557e-004
-2.050000000000011e+000	-3.317809e+000	4.500585e-004
-2.000000000000011e+000	-3.317799e+000	4.500614e-004
-1.950000000000011e+000	-3.317789e+000	4.500642e-004
-1.900000000000011e+000	-3.317779e+000	4.500671e-004
-1.850000000000011e+000	-3.317769e+000	4.500699e-004
-1.800000000000011e+000	-3.317759e+000	4.500728e-004
-1.750000000000010e+000	-3.317749e+000	4.500756e-004
-1.700000000000010e+000	-3.317739e+000	4.500785e-004
-1.650000000000010e+000	-3.317729e+000	4.500813e-004
-1.600000000000010e+000	-3.317719e+000	4.500842e-004
-1.550000000000010e+000	-3.317709e+000	4.500870e-004
-1.500000000000010e+000	-3.317699e+000	4.500899e-004
-1.450000000000010e+000	-3.317689e+000	4.500927e-004
-1.400000000000010e+000	-3.317679e+000	4.500956e-004
-1.350000000000010e+000	-3.317669e+000	4.500985e-004
-1.300000000000010e+000	-3.317659e+000	4.501013e-004
